6.505555555555555536e-01,0.000000000000000000e+00
7.338888888888889239e-01,0.000000000000000000e+00
8.172222222222221832e-01,0.000000000000000000e+00
9.005555555555555536e-01,0.000000000000000000e+00
9.838888888888889239e-01,0.000000000000000000e+00
1.067222222222222294e+00,0.000000000000000000e+00
1.150555555555555554e+00,0.000000000000000000e+00
1.233888888888888813e+00,0.000000000000000000e+00
1.317222222222222294e+00,0.000000000000000000e+00
1.400555555555555554e+00,0.000000000000000000e+00
1.483888888888888813e+00,3.833560070855379642e-02
1.567222222222222294e+00,1.729295214954733595e-01
1.650555555555555554e+00,3.713664815462125457e-01
1.733888888888888813e+00,5.897592941330287442e-01
1.817222222222222294e+00,7.279785464502361858e-01
1.900555555555555554e+00,8.453012515569813257e-01
1.983888888888888813e+00,1.009467638676471823e+00
2.067222222222222072e+00,1.107131373553656983e+00
2.150555555555555554e+00,1.228090848774749277e+00
2.233888888888889035e+00,1.326471505101298964e+00
2.317222222222222072e+00,1.445630734416684993e+00
2.400555555555555554e+00,1.520606078856353571e+00
2.483888888888889035e+00,1.577810987580693824e+00
2.567222222222222072e+00,1.617704108903328608e+00
2.650555555555555554e+00,1.674285046522512532e+00
2.733888888888889035e+00,1.693405482508578919e+00
2.817222222222222072e+00,1.715716920551163982e+00
2.900555555555555554e+00,1.744811081465942104e+00
2.983888888888889035e+00,1.765160875912800131e+00
3.067222222222222072e+00,1.780104044990269196e+00
3.150555555555555554e+00,1.809045210893680311e+00
3.233888888888889035e+00,1.835775751940383449e+00
3.317222222222222072e+00,1.849441661511525448e+00
3.400555555555555554e+00,1.860641708995623089e+00
3.483888888888889035e+00,1.872202087675888249e+00
3.567222222222222072e+00,1.886183463303066743e+00
3.650555555555555554e+00,1.895679066972528082e+00
3.733888888888889035e+00,1.906619583807691809e+00
3.817222222222222072e+00,1.919271689622952470e+00
3.900555555555555554e+00,1.936337899986169786e+00
